20:12:51 ERROR : Can not find samples and platforms directory in SDx install location.
20:12:51 INFO  : Launching XSCT server: xsct -n -sdx -interactive /home/centos/src/project_data/workshop/aws-fpga-app-notes/reInvent18_Developer_Workshop/filter2D_6K/workspace/temp_xsdb_launch_script.tcl
20:12:53 INFO  : Registering command handlers for SDx TCF services
20:12:53 INFO  : Registering command handlers for SDK TCF services
20:12:53 INFO  : XSCT server has started successfully.
20:12:54 INFO  : Successfully done setting XSCT server connection channel  
20:12:54 INFO  : plnx-install-location is set to ''
20:12:54 INFO  : Successfully done setting SDK workspace  
20:12:56 INFO  : Validating SDSoC License...
20:12:56 INFO  : License for SDSoC is unavailable
20:12:56 INFO  : Validating SDAccel License...
20:12:56 INFO  : License available for SDAccel
22:42:22 ERROR : Can not find samples and platforms directory in SDx install location.
22:42:28 INFO  : Registering command handlers for SDx TCF services
22:42:28 INFO  : Launching XSCT server: xsct -n -sdx -interactive /home/centos/src/project_data/workshop/aws-fpga-app-notes/reInvent18_Developer_Workshop/filter2D/workspace/temp_xsdb_launch_script.tcl
22:42:28 INFO  : Registering command handlers for SDK TCF services
22:42:31 INFO  : XSCT server has started successfully.
22:42:31 INFO  : Validating SDSoC License...
22:42:31 INFO  : License for SDSoC is unavailable
22:42:31 INFO  : Validating SDAccel License...
22:42:31 INFO  : License available for SDAccel
22:42:31 INFO  : plnx-install-location is set to ''
22:42:31 INFO  : Successfully done setting XSCT server connection channel  
22:42:31 INFO  : Successfully done setting SDK workspace  
23:57:37 ERROR : Can not find samples and platforms directory in SDx install location.
23:57:40 INFO  : Registering command handlers for SDx TCF services
23:57:40 INFO  : Registering command handlers for SDK TCF services
23:57:40 INFO  : Launching XSCT server: xsct -n -sdx -interactive /home/centos/src/project_data/workshop/aws-fpga-app-notes/reInvent18_Developer_Workshop/filter2D/workspace/temp_xsdb_launch_script.tcl
23:57:41 INFO  : Validating SDSoC License...
23:57:41 INFO  : License for SDSoC is unavailable
23:57:41 INFO  : Validating SDAccel License...
23:57:41 INFO  : License available for SDAccel
23:57:42 INFO  : XSCT server has started successfully.
23:57:42 INFO  : Successfully done setting XSCT server connection channel  
23:57:42 INFO  : plnx-install-location is set to ''
23:57:42 INFO  : Successfully done setting SDK workspace  
